"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2705",https://www.congress.gov/bill/118th-congress/senate-bill/2705,"118th Congress (2023-2024)","SEASONAL Act","Thune, John [Sen.-R-SD] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text: CR S3766-3767)",07/27/2023,"Smith, Tina [Sen.-D-MN]","Collins, Susan M. [Sen.-R-ME]","Klobuchar, Amy [Sen.-D-MN]","Hickenlooper, John W. [Sen.-D-CO]","Ricketts, Pete [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>State Executive Authority for Seasonal Occupations Needing Additional Labor Act or the SEASONAL Act</strong></p><p>This bill authorizes additional H-2B (temporary nonagricultural worker) visas to be issued to employers in a&nbsp;state with  unmet labor needs. (H-2B visas are subject to an annual numerical cap.) </p><p>Under the bill, a state may request&nbsp;a particular number of H-2B visas if&nbsp;(1) employers have requested visas in excess of the numerical cap for that fiscal year, and (2)&nbsp;a state’s seasonally adjusted unemployment rate has been 3.5% or less (in 9 of the most recent 12 quarters). The state&nbsp;must also certify that (1) there is a persistent, unmet need for labor within the state, an occupational category, or an Economic Development District; and (2) the additional H-2B visas will not displace existing members of the state’s workforce or negatively affect average wages.&nbsp;</p><p>The Department of Homeland Security (DHS) must issue the additional H-2B visas upon receiving a request that complies with this bill's requirements, to the extent that the receiving employers meet all the applicable requirements for such visas.</p><p> Additionally, the bill requires DHS and the Department of Labor to annually&nbsp;report to Congress specified data about the bill's implementation, including the number of additional visas issued to each state. </p><p>The bill sunsets four years after its enactment.</p><!--tinycomments|2.1|data:application/json;base64,eyJtY2UtY29udmVyc2F0aW9uXzY1MDE5NzQ2MTIxNzIxMjMzNzMxNTQxIjp7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fNjUwMTk3NDYxMjE3MjEyMzM3MzE1NDEiLCJjb21tZW50cyI6W3sidWlkIjoibWNlLWNvbnZlcnNhdGlvbl82NTAxOTc0NjEyMTcyMTIzMzczMTU0MSIsImF1dGhvciI6InBsZXVuZ0BsaWIubG9jLmdvdiIsImF1dGhvck5hbWUiOiJwbGV1bmdAbGliLmxvYy5nb3YiLCJjb250ZW50IjoiU29tZSBzdHJlYW1saW5pbmcgYW5kIGxhbmd1YWdlIHNpbXBsaWZpY2F0aW9uIGZvciB0aGUgdG9waWMgc2VudGVuY2UuIENoYW5nZWQgXCJ0aGVtXCIgdG8gXCJhZGRpdGlvbmFsIHZpc2FzXCIgZm9yIGNsYXJpdHkuIiwiY3JlYXRlZEF0IjoiMjAyNC0wNy0xN1QxNjoyODo1MS41NDFaIiwibW9kaWZpZWRBdCI6IjIwMjQtMDctMTdUMTY6Mjg6NTEuNTQxWiJ9XX0sIm1jZS1jb252ZXJzYXRpb25fNzY2ODQzMjg3MzE3MjEyMzM5MzA3MTkiOnsidWlkIjoibWNlLWNvbnZlcnNhdGlvbl83NjY4NDMyODczMTcyMTIzMzkzMDcxOSIsImNvbW1lbnRzIjpbeyJ1aWQiOiJtY2UtY29udmVyc2F0aW9uXzc2Njg0MzI4NzMxNzIxMjMzOTMwNzE5IiwiYXV0aG9yIjoicGxldW5nQGxpYi5sb2MuZ292IiwiYXV0aG9yTmFtZSI6InBsZXVuZ0BsaWIubG9jLmdvdiIsImNvbnRlbnQiOiJTcGxpdCBvZmYgdGhlIFwiREhTIG11c3QgaXNzdWVcIiBjbGF1c2UgdG8gc2ltcGxpZnkgdGhlIHNlbnRlbmNlLiBTaW1pbGFybHkgZGVsZXRlZCB0aGUgd29yZCBcImF1dGhvcml6YXRpb25zXCIgZm9yIHNpbXBsaWNpdHkgYW5kIHRvIGF2b2lkIGhhdmluZyB0aGUgXCJtdXN0XCIgY2xhdXNlIGNvbWUgYmVmb3JlIGEgc2VwYXJhdGUgc2VudGVuY2UgYWJvdXQgYWRkaXRpb25hbCByZXF1aXJlbWVudHMuIEFkZGVkIHRoZSBcIm5lZ2F0aXZlbHkgYWZmZWN0aW5nIHdhZ2VzXCIgbGFuZ3VhZ2UgZnJvbSB0aGUgYmlsbC4iLCJjcmVhdGVkQXQiOiIyMDI0LTA3LTE3VDE2OjMyOjEwLjcxOVoiLCJtb2RpZmllZEF0IjoiMjAyNC0wNy0xN1QxNjozMjoxMC43MTlaIn1dfSwibWNlLWNvbnZlcnNhdGlvbl80MDY0ODE1NTc0MTcyMTIzNTM0NjE4NiI6eyJ1aWQiOiJtY2UtY29udmVyc2F0aW9uXzQwNjQ4MTU1NzQxNzIxMjM1MzQ2MTg2IiwiY29tbWVudHMiOlt7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fNDA2NDgxNTU3NDE3MjEyMzUzNDYxODYiLCJhdXRob3IiOiJwbGV1bmdAbGliLmxvYy5nb3YiLCJhdXRob3JOYW1lIjoicGxldW5nQGxpYi5sb2MuZ292IiwiY29udGVudCI6IkRlbGV0ZWQgXCJpbiB0aGUgc3RhdGVcIiBiZWNhdXNlIHRoZSBiaWxsIHNhaWQgXCJhcHBsaWNhdGlvbnMgZnJvbS4uLmFsbCBlbXBsb3llcnNcIiIsImNyZWF0ZWRBdCI6IjIwMjQtMDctMTdUMTY6NTU6NDYuMTg2WiIsIm1vZGlmaWVkQXQiOiIyMDI0LTA3LTE3VDE2OjU1OjQ2LjE4NloifV19LCJtY2UtY29udmVyc2F0aW9uXzE2ODI2MzY1MjUxNzIxMjM1Mzk4MzYwIjp7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fMTY4MjYzNjUyNTE3MjEyMzUzOTgzNjAiLCJjb21tZW50cyI6W3sidWlkIjoibWNlLWNvbnZlcnNhdGlvbl8xNjgyNjM2NTI1MTcyMTIzNTM5ODM2MCIsImF1dGhvciI6InBsZXVuZ0BsaWIubG9jLmdvdiIsImF1dGhvck5hbWUiOiJwbGV1bmdAbGliLmxvYy5nb3YiLCJjb250ZW50IjoiRGVsZXRlZCB0aGUgZmlyc3Qgc2VudGVuY2UgYmVjYXVzZSBpdCdzIGFscmVhZHkgYWRkcmVzc2VkIGluIHRoZSB0b3BpYyBzZW50ZW5jZS4iLCJjcmVhdGVkQXQiOiIyMDI0LTA3LTE3VDE2OjU2OjM4LjM2MFoiLCJtb2RpZmllZEF0IjoiMjAyNC0wNy0xN1QxNjo1NjozOC4zNjBaIn1dfSwibWNlLWNvbnZlcnNhdGlvbl85NjkxNDAzMjE2MTcyMTIzODY1NDQwMCI6eyJ1aWQiOiJtY2UtY29udmVyc2F0aW9uXzk2OTE0MDMyMTYxNzIxMjM4NjU0NDAwIiwiY29tbWVudHMiOlt7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fOTY5MTQwMzIxNjE3MjEyMzg2NTQ0MDAiLCJhdXRob3IiOiJwbGV1bmdAbGliLmxvYy5nb3YiLCJhdXRob3JOYW1lIjoicGxldW5nQGxpYi5sb2MuZ292IiwiY29udGVudCI6IkNoYW5nZWQgbmluZSB0byA5IHBlciBjb25zaXN0ZW5jeSBydWxlLCBDUlMgU3R5bGUgR3VpZGUgcC4gMjkuIFBlcmNlbnQgdG8gJSBhbHNvIHBlciBDUlMgU3R5bGUgR3VpZGUgKHAuIDMwKS4iLCJjcmVhdGVkQXQiOiIyMDI0LTA3LTE3VDE3OjUwOjU0LjM5OVoiLCJtb2RpZmllZEF0IjoiMjAyNC0wNy0xN1QxNzo1MToxOS45ODRaIn1dfX0=-->",,,,,,
"S. 2700",https://www.congress.gov/bill/118th-congress/senate-bill/2700,"118th Congress (2023-2024)","INDEX Act","Sullivan, Dan [Sen.-R-AK] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",07/27/2023,"Kennedy, John [Sen.-R-LA]","Grassley, Chuck [Sen.-R-IA]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Rubio, Marco [Sen.-R-FL]","Daines, Steve [Sen.-R-MT]","Tillis, Thomas [Sen.-R-NC]","Cramer, Kevin [Sen.-R-ND]","Scott, Rick [Sen.-R-FL]","Lummis, Cynthia M. [Sen.-R-WY]","Hagerty, Bill [Sen.-R-TN]","Cassidy, Bill [Sen.-R-LA]","Marshall, Roger [Sen.-R-KS]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>INvestor Democracy is EXpected Act or the INDEX Act </strong></p><p>This bill establishes guidelines for passively managed funds (e.g., index funds) that vote shares on behalf of fund investors in proxy shareholder votes. Under the bill, these funds generally must vote shares on a proportional basis according to instructions from fund investors.</p><p>The bill establishes an exemption for routine matters and matters requiring approval of a majority of outstanding securities. Additionally, the bill establishes a safe harbor from these requirements for investment advisers. &nbsp;</p>",,,,,,
"S. 2699",https://www.congress.gov/bill/118th-congress/senate-bill/2699,"118th Congress (2023-2024)","Opioid RADAR Act","Scott, Rick [Sen.-R-FL] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",07/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/27/2023 Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2694",https://www.congress.gov/bill/118th-congress/senate-bill/2694,"118th Congress (2023-2024)","Foundation of the Federal Bar Association Charter Amendments Act of 2023","Kennedy, John [Sen.-R-LA] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",07/27/2023,"Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2688",https://www.congress.gov/bill/118th-congress/senate-bill/2688,"118th Congress (2023-2024)","Behavioral Health Information Technology Coordination Act","Mullin, Markwayne [Sen.-R-OK] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",07/27/2023,"Warnock, Raphael G. [Sen.-D-GA]","Blackburn, Marsha [Sen.-R-TN]","Cortez Masto, Catherine [Sen.-D-NV]","Britt, Katie Boyd [Sen.-R-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Health,"Computers and information technology","Congressional oversight","Health programs administration and funding","Health technology, devices, supplies","Mental health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"08/04/2023 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Behavioral Health Information Technology Coordination Act</strong></p><p>This bill establishes a grant program to support behavioral health integration for individuals with mental health and substance use disorders.</p><p>Specifically, the Office of the National Coordinator for Health Information Technology must award grants to behavioral health care providers, including physicians, psychologists, and social workers, to support integration and coordination of services for individuals with mental health and substance use disorders. Authorized activities include purchasing or upgrading technology to meet specified federal certification standards for health information technology and to support integrated services with respect to screenings, treatment, and recovery.</p>",,,,,,
"S. 2687",https://www.congress.gov/bill/118th-congress/senate-bill/2687,"118th Congress (2023-2024)","Protecting America's Property Rights Act","Kennedy, John [Sen.-R-LA] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",07/27/2023,"Britt, Katie Boyd [Sen.-R-AL]","Fischer, Deb [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/29/2023 Referred to the House Committee on Financial Services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Protecting America's Property Rights Act</strong></p><p>This bill requires title insurance on conventional mortgages purchased by Fannie Mae and Freddie Mac. Specifically, these mortgages must be secured by real property and the priority of the mortgage lien must be insured by a title insurance company that is licensed and authorized to do business in the appropriate state, territory, or district.</p><p>The bill also prohibits Fannie Mae and Freddie Mac from implementing any new program without the approval of the Federal Housing Finance Agency (FHFA), in addition to the approval of the Department of the Treasury as under current law. Approval from both is also required for any new activity, product, or type of risk.</p><p>FHFA must appear before Congress on a semiannual basis regarding new programs, activities, products, or types of risk. &nbsp;</p>",,,,,,
"S. 2686",https://www.congress.gov/bill/118th-congress/senate-bill/2686,"118th Congress (2023-2024)","A bill to require the Comptroller General of the United States to conduct a study on the economic impact and health outcomes associated with the response to the COVID-19 pandemic in the United States.","Braun, Mike [Sen.-R-IN] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",07/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/06/2023 Placed on Senate Legislative Calendar under General Orders. Calendar No. 202.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This bill requires the Government Accountability Office to conduct a study on the economic impact and health outcomes of the U.S. response to the COVID-19 pandemic and recommend ways to improve future responses.</p>",,,,,,
"S. 2684",https://www.congress.gov/bill/118th-congress/senate-bill/2684,"118th Congress (2023-2024)","Medical License Verification Act","Scott, Rick [Sen.-R-FL] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/27/2023,"Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2683",https://www.congress.gov/bill/118th-congress/senate-bill/2683,"118th Congress (2023-2024)","AMERICAN DRUGS Act","Scott, Rick [Sen.-R-FL] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",07/27/2023,"Braun, Mike [Sen.-R-IN]","Vance, J. D. [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Accelerating Movement of Essential Rx Items to Create Access to National Drug Resources for US Government Services Act or the AMERICAN DRUGS Act</strong></p><p>This bill generally limits coverage of generic drugs under federal health care programs to those that are manufactured domestically.</p><p>Specifically, the bill prohibits coverage of generic drugs that are manufactured in foreign countries under Medicare, Medicaid, the Children's Health Insurance Program (CHIP), TRICARE, and benefits provided by the Veterans' Administration. Coverage is permitted for foreign-made generic drugs if there are fewer than two other generic versions that are manufactured domestically or if the generic versions that are manufactured domestically are in shortage or soon to be discontinued. The Food and Drug Administration (FDA) must notify appropriate agencies about brand-name drugs that have at least two generic versions that are manufactured domestically and those that do not.&nbsp;</p><p>The bill also allows the FDA to expedite the development and review of applications for generic versions of brand-name drugs that do not have at least two generic versions that are manufactured domestically.</p>",,,,,,
"S. 2678",https://www.congress.gov/bill/118th-congress/senate-bill/2678,"118th Congress (2023-2024)","Outbound Investment Transparency Act of 2023","Cornyn, John [Sen.-R-TX] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",07/27/2023,"Casey, Robert P., Jr. [Sen.-D-PA]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.2670,S.2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/22/2023 Became Public Law No: 118-31.","07/27/2023 Senate ordered measure printed as passed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Outbound Investment Transparency Act of 2023</strong></p><p>This bill requires U.S. persons to notify the Department of the Treasury when making investments in or engaging in other economic activity associated with North Korea, China, Russia, or Iran. This requirement applies to U.S. persons in certain sectors, including advanced semiconductors and microelectronics, artificial intelligence, and satellite-based communications. Covered activities that trigger the notification requirement include investing in an entity, establishing a venture or subsidiary, or acquiring certain positions in an entity in these countries.</p><p>U.S. persons must notify Treasury 14 days before engaging in a covered activity. However, if the covered activity is a secured transaction, notification must be provided not later than 14 days after the transaction.&nbsp;</p><p>Specific information or documentary material provided to Treasury is not subject to public disclosure, with certain exceptions.</p><p>Treasury must at least annually report to Congress a summary of the notifications received under this bill.</p><p>The Department of State must engage with allied countries to coordinate protocols, procedures, and information sharing regarding these investments. The Department of Justice has the authority to enforce this bill. &nbsp;</p><!--tinycomments|2.1|data:application/json;base64,eyJtY2UtY29udmVyc2F0aW9uXzk2OTY2MjczOTIxNzE3NjkxMDAwNDk4Ijp7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fOTY5NjYyNzM5MjE3MTc2OTEwMDA0OTgiLCJjb21tZW50cyI6W3sidWlkIjoibWNlLWNvbnZlcnNhdGlvbl85Njk2NjI3MzkyMTcxNzY5MTAwMDQ5OCIsImF1dGhvciI6ImFyZWVkQGxpYi5sb2MuZ292IiwiYXV0aG9yTmFtZSI6ImFyZWVkQGxpYi5sb2MuZ292IiwiY29udGVudCI6IldoaXRlIHBhcGVyOiBodHRwczovL3d3dy5jYXNleS5zZW5hdGUuZ292L2ltby9tZWRpYS9kb2Mvb3V0Ym91bmRfaW52ZXN0bWVudF90cmFuc3BhcmVuY3lfYWN0X29uZS1wYWdlci5wZGYiLCJjcmVhdGVkQXQiOiIyMDI0LTA2LTA2VDE2OjIzOjIwLjQ5OFoiLCJtb2RpZmllZEF0IjoiMjAyNC0wNi0wNlQxNjoyMzoyMC40OThaIn1dfX0=-->",,,,,,
"S. 2675",https://www.congress.gov/bill/118th-congress/senate-bill/2675,"118th Congress (2023-2024)","Backcountry Aviation Protection Act","Budd, Ted [Sen.-R-NC] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",07/27/2023,"Scott, Rick [Sen.-R-FL]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/14/2024 Referred to the Subcommittee on Aviation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Backcountry Aviation Protection Act</strong></p><p>This bill directs the Federal Aviation Administration (FAA) to revise regulations to&nbsp;allow a properly qualified pilot operating an aircraft to conduct a go-around, an inspection pass, a practice approach, or a qualified instrument approach without regard to minimum safe altitude standards. Under current&nbsp;regulations, a person may not operate an aircraft below certain minimum safe altitudes except when necessary for takeoff or landing. The regulation does not include exceptions for situations such as a go-around (i.e., an aborted landing) or a practice approach.</p><p>Beginning one year after the bill's enactment, if the FAA has not published final regulations as required by the bill, the FAA may not take an enforcement action against a person related to&nbsp;a go-around, inspection pass, or practice approach.</p><p>Under the bill, the FAA has the burden of proof with respect to enforcement actions to prove each element of the offense and the inapplicability of each exception to the offense.</p><!--tinycomments|2.1|data:application/json;base64,eyJtY2UtY29udmVyc2F0aW9uXzQxNTk4NzgwNjQxNzE1ODgyODc4OTg2Ijp7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fNDE1OTg3ODA2NDE3MTU4ODI4Nzg5ODYiLCJjb21tZW50cyI6W3sidWlkIjoibWNlLWNvbnZlcnNhdGlvbl80MTU5ODc4MDY0MTcxNTg4Mjg3ODk4NiIsImF1dGhvciI6Im5jaHVyY2hpbGxAbGliLmxvYy5nb3YiLCJhdXRob3JOYW1lIjoibmNodXJjaGlsbEBsaWIubG9jLmdvdiIsImNvbnRlbnQiOiJodHRwczovL3d3dy5lY2ZyLmdvdi9jdXJyZW50L3RpdGxlLTE0L3NlY3Rpb24tOTEuMTE5IiwiY3JlYXRlZEF0IjoiMjAyNC0wNS0xNlQxODowNzo1OC45ODZaIiwibW9kaWZpZWRBdCI6IjIwMjQtMDUtMTZUMTg6MDc6NTguOTg2WiJ9XX0sIm1jZS1jb252ZXJzYXRpb25fNjc5MDc0NzIwNTE3MTU4ODM1MDQ1NDUiOnsidWlkIjoibWNlLWNvbnZlcnNhdGlvbl82NzkwNzQ3MjA1MTcxNTg4MzUwNDU0NSIsImNvbW1lbnRzIjpbeyJ1aWQiOiJtY2UtY29udmVyc2F0aW9uXzY3OTA3NDcyMDUxNzE1ODgzNTA0NTQ1IiwiYXV0aG9yIjoibmNodXJjaGlsbEBsaWIubG9jLmdvdiIsImF1dGhvck5hbWUiOiJuY2h1cmNoaWxsQGxpYi5sb2MuZ292IiwiY29udGVudCI6Imh0dHBzOi8vd3d3LmVjZnIuZ292L2N1cnJlbnQvdGl0bGUtMTQvc2VjdGlvbi05MS4xMTkiLCJjcmVhdGVkQXQiOiIyMDI0LTA1LTE2VDE4OjE4OjI0LjU0NVoiLCJtb2RpZmllZEF0IjoiMjAyNC0wNS0xNlQxODoxODoyNC41NDVaIn1dfX0=-->",,,,,,
